price,service,delivery,performance,authenticity,hardware,accessories,appearance
xu,xử_lý,xộc_xệch,ứng_dụng,bảo_hành,thẻ_nhớ,tặng,zin
vô_địch,uy_tín,xấu,trơn_tru,bill,sóng,tai_nghe,xước
ưu_đãi,trả_lời,vận_chuyển,rất mượt,code,sạc,sạc,xinh_xắn
túi_tiền,thờ_ơ,trễ,phần_mềm,công_ty,rè,phụ_kiện,viền
tiết_kiệm,thô_lỗ,trầy_xước,ổn_định,chính_hãng,ram,ốp_lưng,vẻ_ngoài
tiền,thiện_chí,thùng,nhạy,fullbox,pin,ốp,trọng_lượng
sale,thắc_mắc,tận_tay,nguồn,giả,nghe,đầy đủ,trầy
rẻ,thanh_toán,tận,nóng,imei,micro,củ sạc,trầy
price,thái_độ,sớm,mượt_mà,LL/A,mic,case,thiết_kế
mua,tương_tác,sơ_sài,mượt,mã,màn_hình,cáp sạc,ọp_ẹp
mắc,tư_vấn,shipper,mạnh,mã_vạch,màn,bao_da,ngoại_hình
khuyến_mại,tổng_đài,ship,lỗi,mác,loa_thoại,,nắm
khuyến_mãi,tin_tưởng,nhăn_nhúm,lag,niêm_phong,loa_ngoài,,mới
hời,tận_tình,nhanh_chóng,khởi_động,nghi_ngờ,loa,,móp
giảm,tận_tâm,nhanh,hoạt_động,nguyên_đai,chụp,,mong_manh
giá_thành,shop,nguyên_vẹn,hiệu_năng,nguyên_kiện,camera,,mẫu_mã
giá_cả,bố_đời,móp,giật,nguyên_vẹn,cảm_ứng,,mặt_lưng
giá,rep,méo,đứng,nhãn,bộ_nhớ,,màu
flashsale,phục_vụ,lâu,đơ,QR,âm_thanh,,lõm
đắt,phong_cách,kỹ,độ mượt,quét,,,khung
,phản_hồi,kĩ,đáp_ứng,seal,,,hoàn_thiện
,nhân_viên,hàng,chức_năng,tem,,,hình_thức
,nhắn_tin,giao,chậm,vạch,,,hầm_hố
,lừa,gửi,,VNA,,,đẹp
,lịch_sự,gọn_gàng,,,,,đầm
,khách_hàng,gói_hàng,,,,,dễ_vỡ
,hỗ_trợ,gói,,,,,cấn
,hậu_mãi,đúng_hẹn,,,,,cầm
,giải_đáp,đúng_giờ,,,,,build
,đánh_giá,đóng_gói,,,,,bé
,dịch_vụ,dự_kiến,,,,,bắt_mắt
,chuyên_nghiệp,cẩn_thận,,,,,bao_đẹp
,chu_đáo,cấn,,,,,
,chế_độ,bọc,,,,,
,chăm_sóc,ẩu,,,,,
,cskh,xốp,,,,,
,cọc_cằn,,,,,,
,bán_hàng,,,,,,
,bảo_hành,,,,,,

