,index,word,_score,_pvalue
0,1151,mượt,552.6412479106652,9.896412294322524e-121
1,2256,ứng_dụng,484.12757904957516,7.465036590459739e-106
2,1000,lướt,479.36656200941917,8.07000223848393e-105
3,417,chức_năng,470.83973652376426,5.733902230648432e-103
4,486,cảm_ứng,460.66930694200704,9.266825956166246e-101
5,602,game,419.8975964864547,6.612953071225802e-92
6,724,hoạt_động,410.4123986163349,7.587173023058224e-90
7,936,lag,401.5352281463393,6.422928140075248e-88
8,1458,quảng_cáo,400.9294420725827,8.695165201164915e-88
9,1093,màn_hình,398.4989372457409,2.931266164126868e-87
10,1993,web,384.93094919483804,2.590039726681316e-84
11,378,chạy,383.65528422195086,4.901325606775575e-84
12,2252,ổn_định,376.3046446498828,1.9341255275184465e-82
13,1334,nét,349.7788200469122,1.112997742613434e-76
14,2156,đúng,338.65309859342597,2.9001068607453273e-74
15,1294,nhạy,326.5440630372192,1.2355424247357377e-71
16,1097,màu_sắc,300.2017896147063,6.486488559283198e-66
17,412,chụp,296.1299255483558,4.96825300583594e-65
18,749,hình,281.12592923063,9.00077919054451e-62
19,1592,sắt,279.09654593812104,2.482876342355024e-61
20,1501,rực_rỡ,278.70031515031513,3.0268821534338672e-61
21,1290,như,268.0011194445605,6.372301863577112e-59
22,732,hài_lòng,250.29016335416185,4.468704017386297e-55
23,1618,test,249.1292904626238,7.984761265592551e-55
24,2087,êm,217.7900090444535,5.099181014727086e-48
25,387,chậm,216.2105242217422,1.1232623455748343e-47
26,1379,phim,215.0961806640101,1.9609107598638484e-47
27,1992,vừa_ý,206.40752011839407,1.5106939662271192e-45
28,304,camera,205.16198087001865,2.8160600136177247e-45
29,490,cấu_hình,190.96768525786382,3.403251427349102e-42
30,2183,đẹp,190.0093553565776,5.4953167387606584e-42
31,1011,lắm,175.08929541287395,9.546464918198943e-39
32,2190,đều,172.77647554058845,3.034345539341412e-38
33,1156,mạnh_mẽ,165.77641753957545,1.0048663805527667e-36
34,2160,đơ,163.6603581603582,2.8947080730233984e-36
35,1152,mượt_mà,155.6275550581106,1.6065927510125424e-34
36,1154,mạng,144.31339717748446,4.5998531867749307e-32
37,783,hẹn,139.25229785646454,5.7776033685849736e-31
38,643,giới_thiệu,138.95480990993812,6.7041915002598055e-31
39,1085,mong_đợi,126.57630472191876,3.2681701557128406e-28
40,2089,êm_ái,123.45936571616842,1.5528852508774407e-27
41,1101,máy,122.09362234320317,3.074020577797584e-27
42,719,hoàn_hảo,121.18513091846424,4.8415361251693746e-27
43,1239,người_thân,120.71780824878168,6.115908862380796e-27
44,1338,nóng,120.01071646607362,8.709716815833701e-27
45,340,chuẩn,115.43820029290112,8.568667800942299e-26
46,2254,ủng_hộ,115.13598901098901,9.966384819519379e-26
47,1155,mạnh,113.06427023680544,2.8080553751058766e-25
48,254,bạn_bè,113.05971761924143,2.8144546568239843e-25
49,2218,đời,106.64024071166929,6.972137686958081e-24
50,619,giao,101.6706518398204,8.365626432414939e-23
51,471,cơ_bản,98.20979154714091,4.720790537344004e-22
52,1916,uy_tín,93.96598143588106,3.940455142087476e-21
53,173,an_tâm,93.31462252186888,5.4574174968594965e-21
54,1883,tốt,90.9936567290734,1.7417206350673283e-20
55,277,bề_ngoài,88.26254541069355,6.823886342755172e-20
56,1530,shop,85.91332566076531,2.2088100608206625e-19
57,178,anh_em,82.4610020239272,1.2411404341773944e-18
58,1764,trâu_bò,81.7167277167277,1.8006862018931683e-18
59,385,chất_lượng,76.78070553635526,2.1246218056409728e-17
60,1585,sản_phẩm,75.04531055135993,5.0596196132108916e-17
61,2211,đồng_tiền,73.65005502042538,1.0164681063956227e-16
62,1098,màu_sắc_đẹp,73.33502674574103,1.1898748279974954e-16
63,1424,pin,70.5457992791326,4.799260523004944e-16
64,1280,nhân_viên,70.3703492086683,5.239294666120428e-16
65,1763,trâu,68.61932481479806,1.257485368468895e-15
66,1818,tác,67.64006980673646,2.0518493153409135e-15
67,2054,youtube,66.61030636030635,3.4336478691925785e-15
68,735,hàng,66.1169140343383,4.3943489140578156e-15
69,1422,phục_vụ,65.47101629509037,6.069451553503716e-15
70,641,giật,63.900013566680244,1.3313380891986635e-14
71,380,chảnh,63.60141093474427,1.5457138377377248e-14
72,764,hơi,62.0633793504164,3.335096540779043e-14
73,1962,văng,61.205128205128204,5.122421104997811e-14
74,1561,suốt,61.205128205128204,5.122421104997811e-14
75,1987,vụ,60.65106215800662,6.75754881463225e-14
76,1581,sướng,59.65407271740605,1.1124556290018262e-13
77,1590,sắc,59.186202686202684,1.4056570796660482e-13
78,1386,phong_cách,55.50202906661241,8.869262749986583e-13
79,150,99,54.72478632478633,1.308168351087696e-12
80,1990,vừa_lòng,46.8641975308642,6.66145052578458e-11
81,1441,quay_phim,46.8641975308642,6.66145052578458e-11
82,2170,đầm,45.220562423687426,1.5152337509211326e-10
83,2227,đứng,43.43543956043956,3.699253896496694e-10
84,1210,nghe,41.33901610109339,1.0552289803883316e-09
85,779,hậu_mãi,40.829290324188285,1.3615458039730436e-09
86,1671,thông_thường,39.58821733821734,2.532373911729203e-09
87,947,liên,39.58821733821734,2.532373911729203e-09
