,index,word,_score,_pvalue
0,1420,phụ_kiện,805.8229731379732,1.0417528269497279e-175
1,2174,đầy_đủ,588.3162375719519,1.7731774687524244e-128
2,1871,tặng,462.06159951159964,4.619537706684713e-101
3,1612,tai_nghe,433.71446886446887,6.608451777846817e-95
4,907,kèm,375.9030113297555,2.364276275759777e-82
5,2249,ốp,345.79992750305246,8.137665261987396e-76
6,474,cường_lực,274.8224862637362,2.1040466102161605e-60
7,1582,sạc,260.51652207441686,2.688784582527965e-57
8,996,lưng,179.28118131868132,1.1737784237412688e-39
9,557,dán,139.1030402930403,6.225275735911169e-31
10,447,cáp,137.5671174978867,1.3417759078368482e-30
11,558,dây,111.28388278388279,6.839303732163163e-25
12,525,da,109.38843101343099,1.7644282939563877e-24
13,1071,miếng,99.50361416361417,2.47209251501228e-22
14,514,củ,93.17788461538463,5.843585974830023e-21
15,597,ful,81.46675824175827,2.0404136420519673e-18
16,85,4h,80.16666666666667,3.908674603947732e-18
17,1439,qua_loa,80.16666666666667,3.908674603947732e-18
18,210,box,73.46183353683352,1.116774611473348e-16
19,2230,đựng,69.81681318681318,6.909898124676258e-16
20,916,kính,59.7047793476365,1.084605726355523e-13
21,190,bao,59.63673638189768,1.1221404953953803e-13
22,512,cục,58.61776556776557,1.8677293188288657e-13
23,871,không,54.19147364263645,1.7079337295943361e-12
24,518,cứng,52.138949938949935,4.766184770806882e-12
25,450,câu,52.138949938949935,4.766184770806882e-12
26,2083,ân_cần,45.28644688644688,1.4661317747703283e-10
27,2028,xác_nhận,42.09459706959708,7.232265940369924e-10
28,798,hỏng,40.69178440607012,1.4584491336367874e-09
29,808,hộp,40.15446604677374,1.9079565754319746e-09
30,1030,lởm_vậy,40.083333333333336,1.977036824125374e-09
31,67,37,40.083333333333336,1.977036824125374e-09
32,621,giao_dịch,40.083333333333336,1.977036824125374e-09
33,1855,tưởng_bao,40.083333333333336,1.977036824125374e-09
34,1594,sọc,40.083333333333336,1.977036824125374e-09
35,1875,tỏ,40.083333333333336,1.977036824125374e-09
36,605,gg,40.083333333333336,1.977036824125374e-09
37,63,30k,40.083333333333336,1.977036824125374e-09
38,1540,siu,40.083333333333336,1.977036824125374e-09
39,654,gâm,40.083333333333336,1.977036824125374e-09
40,918,kô,40.083333333333336,1.977036824125374e-09
41,1724,tiểu_nhân,40.083333333333336,1.977036824125374e-09
42,677,gọn_nhẹ,40.083333333333336,1.977036824125374e-09
43,1810,tuổi_đời,40.083333333333336,1.977036824125374e-09
44,767,hư_không,40.083333333333336,1.977036824125374e-09
45,1791,trọng_tâm,40.083333333333336,1.977036824125374e-09
46,1785,trắng_ngà,40.083333333333336,1.977036824125374e-09
47,929,kỳ,40.083333333333336,1.977036824125374e-09
48,78,40k,40.083333333333336,1.977036824125374e-09
49,927,kể_ra,40.083333333333336,1.977036824125374e-09
50,842,kb,40.083333333333336,1.977036824125374e-09
51,1667,thích_lượng,40.083333333333336,1.977036824125374e-09
52,1733,tl,40.083333333333336,1.977036824125374e-09
53,599,full,40.083333333333336,1.977036824125374e-09
54,140,8g,40.083333333333336,1.977036824125374e-09
55,2138,đánh_vật,40.083333333333336,1.977036824125374e-09
56,1360,ohats,40.083333333333336,1.977036824125374e-09
57,594,flip,40.083333333333336,1.977036824125374e-09
58,280,bể,40.083333333333336,1.977036824125374e-09
59,2153,đôi_khi,40.083333333333336,1.977036824125374e-09
60,1106,máy_dán,40.083333333333336,1.977036824125374e-09
61,1368,onl,40.083333333333336,1.977036824125374e-09
